"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20080000216444,2008-06-15,1548,2008-06-15,1548,"CAR PROWL","THEFT-CARPROWL","SOUTH","S","S2","RAINIER BEACH"
20130000266829,2013-07-26,2212,2013-07-26,2318,"BURGLARY-COMMERCIAL","BURGLARY-NOFORCE-NONRES","SOUTHWEST","F","F3","SOUTH PARK"
2010000086705,2010-03-16,1217,2010-03-16,1217,NA,"CHILD-ABUSED-NOFORCE","SOUTHWEST","F","F1","NORTH DELRIDGE"
2010000056235,2010-02-18,2025,2010-02-18,2029,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","L","L3","LAKECITY"
20110000291846,NA,1350,2011-09-04,1357,"THEFT-SHOPLIFT","THEFT-SHOPLIFT",NA,"K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20160000421939,2016-11-22,1127,2016-11-22,1127,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20170000279309,2017-07-30,NA,2017-07-30,1516,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","S","S2","BRIGHTON/DUNLAP"
20160000390225,2016-10-28,930,2016-10-28,1057,NA,"THEFT-CARPROWL","NORTH","J","J3",NA
20150000308653,2015-09-03,1000,NA,1308,"CAR PROWL","THEFT-CARPROWL","EAST","G","G3","MADRONA/LESCHI"
20150000904522,2015-07-12,40,2015-07-13,1354,NA,"THEFT-CARPROWL","EAST","E","E3","CAPITOL HILL"
2016000063982,NA,1500,NA,1732,"CAR PROWL",NA,"NORTH",NA,"L3","SANDPOINT"
20100000230448,2010-07-05,2000,2010-07-06,638,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","S","S3","RAINIER VIEW"
20180000212890,2018-06-12,1045,2018-06-12,1045,"TRESPASS","TRESPASS",NA,NA,"U2","UNIVERSITY"
2014000080235,2014-03-15,1713,2014-03-15,1857,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","WEST","K","K2","PIONEER SQUARE"
