"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20150000217511,2015-06-27,1453,2015-06-27,1457,"PROSTITUTION",NA,"NORTH","N","N2","NORTHGATE"
2017000051423,2017-02-11,1441,2017-02-11,1441,"DUI","DUI-DRUGS","SOUTH","R","R3","GENESEE"
20110000309100,2011-09-18,2115,2011-09-19,801,"CAR PROWL","THEFT-CARPROWL","NORTH",NA,"J2","PHINNEY RIDGE"
NA,2013-05-30,1000,2013-06-02,2335,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","WEST","Q","Q1","MAGNOLIA"
20180000907199,2018-08-06,NA,2018-08-06,2229,"THEFT-BICYCLE",NA,"SOUTHWEST","F","F1","PIGEON POINT"
20080000119294,2008-04-02,1600,2008-04-02,1751,"CAR PROWL","THEFT-CARPROWL","WEST","D","D1","BELLTOWN"
20080000346969,2008-09-15,1735,2008-09-15,1822,"CAR PROWL","THEFT-CARPROWL","WEST","D","D3","EASTLAKE - WEST"
2010000079817,2010-03-10,1430,2010-03-10,1614,"NARCOTIC","NARC-POSSESS-COCAINE","WEST","K","K3","PIONEER SQUARE"
20170000173086,NA,700,2017-05-17,950,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","WEST","D","D2","QUEEN ANNE"
2015000044060,2015-02-07,2225,2015-02-07,2225,"CAR PROWL","THEFT-CARPROWL","WEST","M","M1","DOWNTOWN COMMERCIAL"
2015000023754,2015-01-22,101,2015-01-22,208,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","W","W2","HIGH POINT"
20080000101139,2008-03-18,2035,2008-03-18,2035,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES",NA,"Q","Q2","QUEEN ANNE"
20130000325198,2013-08-31,1200,NA,1211,NA,"BURGLARY-NOFORCE-RES","NORTH","L","L3","LAKECITY"
201700005662,2017-01-05,1528,2017-01-05,1528,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","WEST","Q","Q3","QUEEN ANNE"
2010000027606,2010-01-23,2230,2010-01-24,2004,NA,"THEFT-CARPROWL","SOUTH",NA,"R2","MOUNT BAKER"
